id,Origin,Name,Country,Tracks,Followers,ArtistRecentlyposted,Genre
220,HM,The Find,Netherlands,463,255," Melodiesinfonie, Souleance, Homeboy Sandman & Edan",HipHop
221,HM,WEUNDERGROUND,South Africa,235,261," Jonwayne, Thundercat, Christoph El Truento",Electronic
222,HM,Happy Days Are Here Again,Italy,1165,264," Monarch Mtn, Michael Chapman, Stripmall Ballads",Folk
223,HM,nyctaper,USA,1055,271, Dirty Projectors,IndieRock
224,HM,Hullabaloo,USA,528,272," Faye Webster, Lydia Képinski, The Beaches",IndieRock
225,HM,Twistedsoul,UK,1557,277," Foodman, Steve Spacek, Souleance, Open Mike Eagle",Electronic
226,HM,Deep House Amsterdam,Netherlands,578,278," Marlon Hoffstadt, Bufi, Davis",Electronic
227,HM,Twangville,USA,886,281, The Bottle Rockets,IndieRock
228,HM,Dusted & Social,USA,245,284," Graham Dunning, Bisk",Electronic
229,HM,WeWant2Wigoler,France,1056,285, Tahiti 80,IndieRock
230,HM,Le Limonadier,France,845,288, DJ Steaw,House
231,HM,MetalSucks,USA,1402,295, The Melvins,Metal
232,HM,XXL,USA,1508,298," Derez De'Shon, Z Money, Chance The Rapper",HipHop
233,HM,Cause=Time,USA,6624,301," ODESZA, TEN FÉ, Vince Staples, Childish Gambino, Pusha T",Electronic
234,HM,Emerging Indie Bands,UK,3513,301," 45, Nomadic Massive",HipHop
235,HM,Flea Market Funk,USA,556,302," Boca45, Basement Freaks, The Public Opinion Afro Orchestra",HipHop
236,HM,Chase The Compass,UK,568,304, 6th Borough Project,Electronic
237,HM,Cast the Dice,UK,952,314," Gum Takes Tooth, Machinefabriek, Thundercat",Electronic
238,HM,swede + sour,Sweden,714,318," Bearson, Benz",Electronic
239,HM,The Songs We Love,Spain,350,326, Foxwarren,Folk
240,HM,The Autumn Roses,UK,3299,336," Sasha, Same Waves, MONOGEM",Electronic
241,HM,Lend Me Your Ears,UK,1733,345, loscil,Electronic
242,HM,Here comes the flood,Netherlands,2389,349," GURU, LOGOUT",Rap
243,HM,The VPME,UK,1592,354, PALE RIDER,Rap
244,HM,Resident Advisor,Worldwide,1328,355," Nazar, Laksa, Raime",Electronic
245,HM,a closer listen,Worldwide,1324,358," Somni, Faint, Capac",Electronic
246,HM,When You Motor Away,USA,4126,359, Errant Boy,Rap
247,HM,Bandcamp Daily,USA,8239,364," La Loca De Hojalata, Balún, COLOR TV,  Strut, Jubilee, Gaika",Electronic
248,HM,Crying All The Way To The Chip Shop,UK,828,379," Manfred Mann, XTC, The Mo-dettes",Pop
249,HM,Various Small Flames,UK,1828,381,Frog,House
250,HM,AFROPUNK,USA,979,385, Big Joanie,Punk
251,HM,a little bit of sol,USA,4018,394, okay(K),Rap
252,HM,Fluid Radio,UK,1455,395," Erik Griswold, FOUDRE!, Lubomyr Melnyk",Experimental
253,HM,LOCAL SUICIDE,Germany,1035,399," Fairmont, Spencer Parker, Thundercat (feat. BADBADNOTGOOD & Flying Lotus)",Electronic
254,HM,27 Leggies,UK,3485,408," The Four Seasons, Frankie Valli, King Mensah",Pop
255,HM,The House of Coxhead,UK,875,411," Xinobi, FKJ, Harvey Sutherland",Electronic
256,HM,COMO LAS GRECAS,Spain,6134,411," Photonz, Thomass Jackson",House
257,HM,La Musique Sismique,France,704,412," Jordan Max, Poppy, SUMif",Pop
258,HM,Still in Rock,USA,2147,416, Boss,Rap
259,HM,Molars,UK,857,419, Art Brut,IndieRock
260,HM,Silver Soundz,Ireland,1493,423," HTRK, Objekt",Electronic
261,HM,monkeyboxing,UK,2478,424," Boogie, B, Wu Tang Vs Jimi Hendrix",HipHop
262,HM,Escafandrista Musical,Esp,1609,435," Crooked Colours, NANCY, Hyena",Electronic
263,HM,Escafandrista Musical,Spain,1609,435," Crooked Colours, NANCY, Lauran Hibberd",IndieRock
264,HM,electric sound of joy,UK,2839,444," Margot, Emanative, HOCKEYSMITH, Noname, YOUNG FATHERS",Electronic
265,HM,barrygruff,Ireland,2906,456," TEN FÉ, BILK",Electronic
266,HM,Sodwee,France,172,456," Dominique, Joy Downer",Pop
267,HM,HEY,Germany,878,467," LAUNDER, Still Parade, Homeshake",IndieRock
268,HM,Niche Music,Japan,4345,468," Famous, GURU",Rap
269,HM,Recommended Listen,USA,1475,476, WICCA PHASE SPRINGS ETERNAL,Rap
270,HM,Do You Like That Song?,France,616,480, Vhyce,House
271,HM,1833 FM,USA,1808,483, Kai Whiston,Electronic
272,HM,Fuzzy Logic,USA,1853,491, LUMP,Electronic
273,HM,Fake Shore Drive,USA,3555,502, LUCKI,Pop
274,HM,Plain Or Pan?,Scotland,1224,506, Passengers,Pop
275,HM,Burl Veneer's Music Tumblr,USA,4614,512," Mark Barrott, Rocky Marsiano, Benedikt Frey",Electronic
276,HM,Doklands,UK,2922,523," Buddy Knox, Paavoharju, Circuit des Yeux",Folk
277,HM,The Record Stache,USA,1914,536, Maggie Szabo,Pop
278,HM,GIMME TINNITUS,USA,2381,537," Lia Mice,  hotline, Al Lover, Armand Hammer",Electronic
279,HM,Sonofmarketing,Italy,6167,543," William Ryan Fritch, Styrofoam, Deru",Electronic
280,HM,Tiny Mix Tapes,Worldwide,436,551," Angel-Ho, Test Dept, Sven K",Electronic
281,HM,poule d'or,Germany,1048,557, Moscow Youth Cult,Electronic
282,HM,Impose,USA,4042,557," Pupils of the Clock, Karim",HipHop
283,HM,17 seconds,UK,863,565, The Raptors,IndieRock
284,HM,Data Transmission,UK,2694,566," Reblok, Ruben Mandolini",Electronic
285,HM,El Tino,Canada,2103,567," Men I Trust, DOV, Ghostly Kisses",Electronic
286,HM,Highclouds,Belgium,3596,575," Angel-Ho, Monad, Kllo",Electronic
287,HM,UNCANNY,Japan,2141,575," Yaeji, Machine Woman, Foodman",Electronic
288,HM,The Deli Magazine,USA,6829,577," JUICE, hotline, pronoun",Rap
289,HM,No Country For New Nashville,USA,2655,591, Peachy,Pop
290,HM,Coast Is Clear,Germany,1544,593," Malcolm Middleton, Twin Oaks, Lowpines",IndieRock
291,HM,mp3hugger,Ireland,23,598," Whyte Horses, RACKETS, Lauran Hibberd",IndieRock
292,HM,polaroid,UK,2407,605," Beastie Boys, P.",HipHop
293,HM,Star Maker Machine,UK,2617,606, Rick Robbins,Folk
294,HM,Nordic by Nature,Germany,930,611, Sgrow,Electronic
295,HM,Clash Magazine,UK,413,625," Xinobi, Sasha, Kai Whiston",Electronic
296,HM,SPIN,USA,885,634," CZARFACE, Travis Scott, JPEGMAFIA",HipHop
297,HM,Anotherwhiskyformisterbukowski,France,1466,640," Khruangbin, Louis Futon, ALT 236",Electronic
298,HM,Indie is not a genre,Germany,930,650, TEN FÉ,Electronic
299,HM,GRANDGOOD,USA,4822,662," DJ Nu-Mark, Chance The Rapper, LISAAN'DRO",HipHop
300,HM,bear toons,UK,871,666, Professor Rhythm,House
301,HM,The Guardian,UK,266,668, Art Brut,IndieRock
302,HM,Phonographe Corp,France,587,678, Objekt,Electronic
303,HM,HearYa,USA,1487,687, Silverbacks,IndieRock
304,HM,Mixmag,Worldwide,1996,691," Travis Scott, Kai Whiston",HipHop
305,HM,The Quietus,UK,2105,699," The Gasman, Planningtorock",Electronic
306,HM,Abduction Radiation,USA,25,714," Golden Vessel, AMTRAC, infinite bisous,  SwuM, Flamingosis",Electronic
307,HM,Indie30,Australia,1802,731," Kælan Mikla, We Float",Punk
308,HM,Los Angeles Leakers,USA,761,746," Blueface, Casey Veggies, Benny, Mike Zombie",Electronic
309,HM,Portals,USA,1817,754, Many Voices Speak,Electronic
310,HM,Exclaim!,Canada,3477,759," CZARFACE, milk, clammyclams",HipHop
311,HM,Planeta Pop,Esp,2292,775, CLAVVS,Electronic
312,HM,TRUANTS,UK,1591,783," Mix Mup, Charlotte Bendiks",Electronic
313,HM,For The Sake Of The Song,Spain,3226,785, Amy Helm,House
314,HM,The Lost Turntable,UK,4021,791, Magic Marmalade,House
315,HM,The Panic Manual,Canada,1718,799, Matt Berry,Folk
316,HM,Nothing but hope and passion,Germany,2538,806, Elliot,Electronic
317,HM,raven sings the blues,USA,239,819," The Other Years, Michael Hurley, State Champion",Folk
318,HM,Swan Fungus,USA,3672,820, Melody's Echo Chamber,IndieRock
319,HM,The Revue,Canada,1035,831," Toro y Moi, Sasha, Dahlia Sleeps",Electronic
320,HM,Indie For Bunnies,Italy,2781,835," Say Sue Me, The Beths, Wyatt Blair",IndieRock
321,HM,When We Dip,Germany,2836,837," Art Department, Fur Coat, Brian Cid",Electronic
322,HM,The Devil Has The Best Tuna,UK,8038,843," The Van T's, bentcousin, Foreign Owl",IndieRock
323,HM,XLR8R,USA,4073,847," Angel-Ho, Shelley Parker, Objekt,  Kratos Himself, Pixelord, Paper Tiger",Electronic
324,HM,Cruel Rhythm,UK,773,856," neek, Serious Klein, Thutmose",HipHop
325,HM,The French Shuffle,USA,1281,857," Boston Bun, GUTS, Robotaki",Electronic
326,HM,Little Indie Blogs,UK,5461,858," PRETTY, GURU",Rap
327,HM,Audio Aquarium,undefined,727,896, Tycho,Electronic
328,HM,Gold Flake Paint,UK,2588,899, Kiran Leonard,Electronic
329,HM,Darmstadt,Denmark,1553,903," Objekt, Schacke",Techno
330,HM,Folk Radio UK,UK,3517,913," Colm Keane, The Unthanks",Folk
331,HM,buffaBLOG,USA,4837,914," The Tins, Drens",IndieRock
332,HM,stereogum,USA,13502,924," Jonwayne, CZARFACE, Chance The Rapper",HipHop
333,HM,Noisey,USA,1886,963," MALIKA, Rose Droll",IndieRock
334,HM,Regnsky,Danemark,1469,973," DJ Different, Ciel, Deena Abdelwahed",Electronic
335,HM,Stamp The Wax,UK,2268,979," Ben Hauke, Jazxing",House
336,HM,yvynyl,USA,1334,982, Sir Charles,Electronic
337,HM,SERIALGK,Greece,3993,992," Marie Davidson, Leon Vynehall, RΠЯ",Electronic
338,HM,The Bay Bridged,USA,3504,998, PERHAPSY,IndieRock
339,HM,Going Solo,Italy,548,1011," Benji Lewis, SANTII",HipHop
340,HM,Frequenze Indipendenti,Italy,191,1023, Steve Monite,Funk
341,HM,Faded Glamour,UK,2667,1025," Sasha, Jóhann Jóhannsson",Electronic
342,HM,csgmblog,Poland,789,1044, Kllo,Electronic
343,HM,Indietronica,UK,177,1061," Sasha, Lincoln Jesser, TEN FÉ",Electronic
344,HM,Berkeley Place,USA,5244,1078," J-LIVE, Open Mike Eagle, Mick Jenkins",HipHop
345,HM,Austin Town Hall,USA,7965,1105, GURU,Rap
346,HM,CLOUDBERRY MORNINGS,Latvia (Lettonie),349,1108," Paperwhite, Slum Sociable",Electronic
347,HM,The Morning After,Canada,1775,1181, Next,HipHop
348,HM,Indie Obsessive,USA,2579,1195," Matthew Dear, Royce",IndieRock
349,HM,Pause Musicale,France,3604,1211," Toro y Moi,",Electronic
350,HM,NNM,Chily,1853,1254, FYI Chris,House
351,HM,FACT,UK,4215,1268," Jay Glass Dubs, Angel-Ho, Swing Ting",Electronic
352,MD,Electrocorp,France,2041,1273,,IndieRock
353,HM,Scientists of Sound,UK,2078,1283," Margot, Emmit Fenn",Electronic
354,HM,DIY,UK,4487,1335," Leif Erikson, Hatchie",Pop
